X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
1043;2,00E-02;8,00E-01;;
1044;2,00E-02;5,60E-01;;
1045;2,00E-02;5,60E-01;;
1046;2,00E-02;5,60E-01;;
1047;2,00E-02;5,60E-01;;
1048;1,00E-02;2,40E-01;;
1049;1,00E-02;2,40E-01;;
1050;2,00E-02;2,40E-01;;
1051;2,00E-02;2,40E-01;;
1052;2,80E-02;8,00E-02;;
1053;2,80E-02;8,00E-02;;
1054;2,60E-02;8,00E-02;;
1055;2,60E-02;8,00E-02;;
1056;3,00E-02;-1,60E-01;;
1057;3,00E-02;-1,60E-01;;
1058;3,60E-02;-1,60E-01;;
1059;3,60E-02;-1,60E-01;;
1060;3,40E-02;-4,80E-01;;
1061;3,40E-02;-4,80E-01;;
1062;3,20E-02;-4,80E-01;;
1063;3,20E-02;-4,80E-01;;
1064;3,40E-02;-7,20E-01;;
1065;3,40E-02;-7,20E-01;;
1066;3,80E-02;-7,20E-01;;
1067;3,80E-02;-7,20E-01;;
1068;3,80E-02;-8,80E-01;;
1069;3,80E-02;-8,80E-01;;
1070;5,20E-02;-8,80E-01;;
1071;5,20E-02;-8,80E-01;;
1072;5,40E-02;-1,20E+00;;
1073;5,40E-02;-1,20E+00;;
1074;5,00E-02;-1,20E+00;;
1075;5,00E-02;-1,20E+00;;
1076;5,80E-02;-1,44E+00;;
1077;5,80E-02;-1,44E+00;;
1078;5,80E-02;-1,44E+00;;
1079;5,80E-02;-1,44E+00;;
1080;5,80E-02;-1,60E+00;;
1081;5,80E-02;-1,60E+00;;
1082;6,60E-02;-1,60E+00;;
1083;6,60E-02;-1,60E+00;;
1084;7,20E-02;-1,92E+00;;
1085;7,20E-02;-1,92E+00;;
1086;6,60E-02;-1,92E+00;;
1087;6,60E-02;-1,92E+00;;
1088;7,60E-02;-2,16E+00;;
1089;7,60E-02;-2,16E+00;;
1090;8,20E-02;-2,16E+00;;
1091;8,20E-02;-2,16E+00;;
1092;7,80E-02;-2,32E+00;;
1093;7,80E-02;-2,32E+00;;
1094;8,80E-02;-2,32E+00;;
1095;8,80E-02;-2,32E+00;;
1096;8,80E-02;-2,64E+00;;
1097;8,80E-02;-2,64E+00;;
1098;8,60E-02;-2,64E+00;;
1099;8,60E-02;-2,64E+00;;
1100;9,00E-02;-2,80E+00;;
1101;9,00E-02;-2,80E+00;;
1102;9,80E-02;-2,80E+00;;
1103;9,80E-02;-2,80E+00;;
1104;8,00E-02;-2,96E+00;;
1105;8,00E-02;-2,96E+00;;
1106;6,60E-02;-2,96E+00;;
1107;6,60E-02;-2,96E+00;;
1108;6,00E-02;-3,20E+00;;
1109;6,00E-02;-3,20E+00;;
1110;5,80E-02;-3,20E+00;;
1111;5,80E-02;-3,20E+00;;
1112;6,20E-02;-3,36E+00;;
1113;6,20E-02;-3,36E+00;;
1114;5,00E-02;-3,36E+00;;
1115;5,00E-02;-3,36E+00;;
1116;3,40E-02;-3,60E+00;;
1117;3,40E-02;-3,60E+00;;
1118;3,60E-02;-3,60E+00;;
1119;3,60E-02;-3,60E+00;;
1120;3,60E-02;-3,68E+00;;
1121;3,60E-02;-3,68E+00;;
1122;2,40E-02;-3,68E+00;;
1123;2,40E-02;-3,68E+00;;
1124;2,40E-02;-3,92E+00;;
1125;2,40E-02;-3,92E+00;;
1126;1,20E-02;-3,92E+00;;
1127;1,20E-02;-3,92E+00;;
1128;8,00E-03;-4,08E+00;;
1129;8,00E-03;-4,08E+00;;
1130;8,00E-03;-4,08E+00;;
1131;8,00E-03;-4,08E+00;;
1132;8,00E-03;-4,16E+00;;
1133;8,00E-03;-4,16E+00;;
1134;4,00E-03;-4,16E+00;;
1135;4,00E-03;-4,16E+00;;
1136;1,60E-02;-4,32E+00;;
1137;1,60E-02;-4,32E+00;;
1138;1,60E-02;-4,32E+00;;
1139;1,60E-02;-4,32E+00;;
1140;0,00E+00;-4,40E+00;;
1141;0,00E+00;-4,40E+00;;
1142;8,00E-03;-4,40E+00;;
1143;8,00E-03;-4,40E+00;;
1144;2,20E-02;-4,56E+00;;
1145;2,20E-02;-4,56E+00;;
1146;2,40E-02;-4,56E+00;;
1147;2,40E-02;-4,56E+00;;
1148;2,00E-02;-4,72E+00;;
1149;2,00E-02;-4,72E+00;;
1150;2,00E-02;-4,72E+00;;
1151;2,00E-02;-4,72E+00;;
1152;1,00E-02;-4,80E+00;;
1153;1,00E-02;-4,80E+00;;
1154;8,00E-03;-4,80E+00;;
1155;8,00E-03;-4,80E+00;;
1156;1,00E-02;-4,80E+00;;
1157;1,00E-02;-4,80E+00;;
1158;0,00E+00;-4,80E+00;;
1159;0,00E+00;-4,80E+00;;
1160;-2,00E-03;-4,88E+00;;
1161;-2,00E-03;-4,88E+00;;
1162;1,20E-02;-4,88E+00;;
1163;1,20E-02;-4,88E+00;;
1164;1,00E-02;-4,96E+00;;
1165;1,00E-02;-4,96E+00;;
1166;6,00E-03;-4,96E+00;;
1167;6,00E-03;-4,96E+00;;
1168;1,00E-02;-4,96E+00;;
1169;1,00E-02;-4,96E+00;;
1170;6,00E-03;-4,96E+00;;
1171;6,00E-03;-4,96E+00;;
1172;2,20E-02;-4,96E+00;;
1173;2,20E-02;-4,96E+00;;
1174;2,20E-02;-4,96E+00;;
1175;2,20E-02;-4,96E+00;;
1176;1,00E-02;-5,04E+00;;
1177;1,00E-02;-5,04E+00;;
1178;8,00E-03;-5,04E+00;;
1179;8,00E-03;-5,04E+00;;
1180;1,00E-02;-5,04E+00;;
1181;1,00E-02;-5,04E+00;;
1182;8,00E-03;-5,04E+00;;
1183;8,00E-03;-5,04E+00;;
1184;1,00E-02;-4,96E+00;;
1185;1,00E-02;-4,96E+00;;
1186;2,00E-02;-4,96E+00;;
1187;2,00E-02;-4,96E+00;;
1188;1,20E-02;-4,96E+00;;
1189;1,20E-02;-4,96E+00;;
1190;1,80E-02;-4,96E+00;;
1191;1,80E-02;-4,96E+00;;
1192;2,40E-02;-4,96E+00;;
1193;2,40E-02;-4,96E+00;;
1194;2,40E-02;-4,96E+00;;
1195;2,40E-02;-4,96E+00;;
1196;1,20E-02;-4,88E+00;;
1197;1,20E-02;-4,88E+00;;
1198;1,60E-02;-4,88E+00;;
1199;1,60E-02;-4,88E+00;;
